name,lat,lon,flag
唐城墙遗址公园,34.24402747993592,108.88420075628626,True
秦始皇兵马俑博物馆,34.38616474662522,109.27589858981013,True
华清宫,34.36494273008204,109.20739341171948,True
大明宫国家遗址公园,34.2941292470622,108.9588998372486,True
明秦王府城墙遗址,34.26494183420374,108.94871115443848,True
革命公园,34.2730655471474,108.95370908581536,True
青龙寺遗址公园,34.23497371454784,108.9845321828215,True
曲江寒窑遗址公园,34.20019503012653,108.98652836806492,True
杜陵,34.1826721618866,109.02148497764368,True
文化广场,34.17726965294845,108.86927532490874,True
太液池,34.297708691462965,108.9596674011954,True
兴庆宫公园,34.255695032621134,108.97918696621154,True
西安博物院,34.240067102551606,108.93704571455004,True
凤栖山,34.13172868792847,109.07497620075192,True
明秦王墓,34.11040308443918,109.032035217106,True
荐福寺,34.24044139834242,108.9379206078397,True
西安碑林博物馆,34.25547234869032,108.948205017226,True
秦二世陵遗址公园,34.19411882183019,108.9797581033966,True
文景公园,34.323082317055004,108.93105433528612,True
赵公明财神庙,34.077708013952375,108.33752464047537,True
大唐西市,34.24799910429562,108.90335306498145,True
文景山公园,34.38619485406725,108.93881438120744,True
八里原,34.07841895510963,109.163306703685,True
唐城墙公园,34.21216014886009,108.98835246749978,True
曲江池遗址公园,34.201860347244526,108.97943018326984,True
西安市工人文化宫,34.061383270856226,108.6237040584945,True
孔门七十二贤,34.23939085,108.96018175,True
丝路欢乐世界,34.06187126044225,108.30743175489329,True
薄太后陵,34.2187384703548,109.09650338956996,True
曲江文化运动公园,34.1837849506504,108.98504926113104,True
半坡国际艺术区,34.27219170104857,109.05299812560628,True
汉长安城未央宫国家考古遗址公园,34.30469615266899,108.8573462041592,True
长安公园,34.14398818137475,108.90758506082751,True
大唐华清城,34.36828666371506,109.2065085670236,True
明秦王世子遗址公园,34.16946697446034,108.9840399867594,True
文化中心广场,34.34471286469704,108.95077678995598,True
大明宫圣远广场,34.29487319074889,108.94980626442256,True
文华阁,34.23165544921639,108.8884314610686,True
阿房宫考古遗址公园,34.26433382935316,108.8082872856812,True
文创小镇,34.24671338820454,108.72277492596474,True
窦皇后陵,34.23578429317869,109.11834566420843,True
少陵公园,34.142477328492284,108.94683132690491,True
曲江创意谷,34.21403786230275,109.00782050509096,True
乐游原,34.23470744329431,108.98445944119376,True
马陵遗址,34.466198149861306,109.18239967831788,True
丝路国际体育文化交流培训基地,34.405448391213454,109.04108161296408,True
陕西省考古研究院,34.12024479880626,108.8779329010571,True
西安国家版本馆,34.00573008193635,108.69688149225824,True
丝路国际文化艺术中心,34.31755458742191,109.03768732395606,True
易俗社文化街区,34.262393655923105,108.94432021749016,True
中国周城,34.11230055673878,108.039974118037,True
