name,lat,lon,flag,citycode,cityname,adcode,adname,business_area,type
汉太液池遗址,34.31233211,108.8268014,TRUE,29,西安市,610112,未央区,西咸新区,风景名胜;风景名胜;风景名胜
少陵塬,34.10801552,109.0406076,TRUE,29,西安市,610116,长安区,[],地名地址信息;地名地址信息;地名地址信息
中国电影资料馆西安电影资料库,34.36837278,109.238684,TRUE,29,西安市,610115,临潼区,[],科教文化服务;档案馆;档案馆
大唐芙蓉园,34.21423713,108.969572,TRUE,29,西安市,610113,雁塔区,[],风景名胜;风景名胜;国家级景点
西山,34.21357488,108.9680334,TRUE,29,西安市,610116,长安区,西咸新区,风景名胜;风景名胜;寺庙道观
大唐不夜城,34.21208308,108.9594107,TRUE,29,西安市,610113,雁塔区,[],风景名胜;风景名胜相关;旅游景点|购物服务;特色商业街;特色商业街
杨虎城将军陵园,34.14647075,108.9501059,TRUE,29,西安市,610116,长安区,[],风景名胜;风景名胜;省级景点|生活服务;丧葬设施;陵园
隋大兴唐长安城明德门遗址公园,34.2064897,108.9355516,TRUE,29,西安市,610113,雁塔区,杨家村,风景名胜;风景名胜;风景名胜
大雁塔北广场,34.22262932,108.9594753,TRUE,29,西安市,610113,雁塔区,[],风景名胜;公园广场;公园广场
御花园,34.2200495,108.9643732,TRUE,29,西安市,610113,雁塔区,[],商务住宅;住宅区;住宅小区
唐大慈恩寺遗址公园,34.21926981,108.9621442,TRUE,29,西安市,610113,雁塔区,[],风景名胜;公园广场;公园
大雁塔南广场,34.21742188,108.9594503,TRUE,29,西安市,610113,雁塔区,[],风景名胜;公园广场;公园广场
陕西戏曲大观园,34.22176944,108.9626369,TRUE,29,西安市,610113,雁塔区,[],风景名胜;公园广场;公园
大雁塔休闲文化景区,34.22037491,108.9598993,TRUE,29,西安市,610113,雁塔区,[],风景名胜;风景名胜;国家级景点
塔林,34.21961978,108.9599626,TRUE,29,西安市,610113,雁塔区,[],风景名胜;风景名胜;风景名胜
陕西历史博物馆,34.22575435,108.9503358,TRUE,29,西安市,610113,雁塔区,[],科教文化服务;博物馆;博物馆
渼陂湖,34.11626216,108.575028,TRUE,29,西安市,610118,鄠邑区,[],风景名胜;风景名胜;风景名胜
西安事变纪念馆,34.25883789,108.9629637,TRUE,29,西安市,610103,碑林区,[],风景名胜;风景名胜;纪念馆
翠华山,33.9831889,109.0026197,TRUE,29,西安市,610116,长安区,[],风景名胜;风景名胜;国家级景点
终南山（兵马营）,33.8445959,108.6468672,TRUE,29,西安市,610122,蓝田县,汤峪,住宿服务;住宿服务相关;住宿服务相关
凤凰山,33.9739594,108.4960402,TRUE,29,西安市,610122,蓝田县,[],体育休闲服务;休闲场所;休闲场所
首阳山,33.9363437,108.434902,TRUE,29,西安市,610124,周至县,[],地名地址信息;自然地名;山
终南山,33.9243535,109.0455496,TRUE,29,西安市,610116,长安区,[],风景名胜;公园广场;公园
天华山,33.7949038,108.3411111,TRUE,29,西安市,610116,长安区,[],风景名胜;风景名胜相关;旅游景点
南五台,33.9899964,108.9747012,TRUE,29,西安市,610116,长安区,[],地名地址信息;自然地名;山
人头山,33.9772308,109.1291191,TRUE,29,西安市,610116,长安区,[],体育休闲服务;休闲场所;休闲场所
圭峰山,33.9839763,108.6835631,TRUE,29,西安市,610118,鄠邑区,[],地名地址信息;自然地名;山
秦兵马俑二号坑,34.38589925,109.273957,TRUE,29,西安市,610115,临潼区,[],风景名胜;风景名胜相关;旅游景点
秦兵马俑一号坑,34.38496603,109.2731572,TRUE,29,西安市,610115,临潼区,[],风景名胜;风景名胜;风景名胜
秦始皇帝陵博物院,34.38612275,109.2754475,TRUE,29,西安市,610115,临潼区,[],风景名胜;风景名胜;国家级景点
大雁塔,34.21979681,108.9594259,TRUE,29,西安市,610113,雁塔区,[],风景名胜;风景名胜;风景名胜
长安塔,34.32335604,109.0550139,TRUE,29,西安市,610111,灞桥区,[],风景名胜;风景名胜;风景名胜
阅江楼,34.19719994,108.9806073,TRUE,29,西安市,610113,雁塔区,曲江池,交通设施服务;停车场;公共停车场
陕西自然博物馆,34.19623626,108.9418994,TRUE,29,西安市,610113,雁塔区,长安路,科教文化服务;博物馆;博物馆
鼓楼,34.26176037,108.9388376,TRUE,29,西安市,610104,莲湖区,北院门,风景名胜;风景名胜;风景名胜
图书馆,34.02811574,109.0040005,TRUE,29,西安市,610112,未央区,[],科教文化服务;科教文化场所;科教文化场所
教堂,34.17525718,108.5213329,TRUE,29,西安市,610112,未央区,张家堡,风景名胜;风景名胜;教堂
钱学森图书馆,34.24870055,108.9789687,TRUE,29,西安市,610103,碑林区,[],科教文化服务;图书馆;图书馆
交大西迁博物馆,34.24901888,108.9809629,TRUE,29,西安市,610103,碑林区,[],科教文化服务;博物馆;博物馆
东岳庙,34.26259594,108.9659752,TRUE,29,西安市,610116,长安区,西咸新区,风景名胜;风景名胜;寺庙道观
唐仲英艺术庭院,34.24814272,108.9767399,TRUE,29,西安市,610113,雁塔区,西影路,科教文化服务;培训机构;培训机构
陕西钱币博物馆,34.23169235,108.90095,TRUE,29,西安市,610113,雁塔区,西安高新技术产业开发区,科教文化服务;博物馆;博物馆
丹凤门,34.2828365,108.9595098,TRUE,29,西安市,610102,新城区,[],风景名胜;风景名胜;风景名胜
含元殿遗址,34.2891507,108.9594648,TRUE,29,西安市,610102,新城区,[],风景名胜;风景名胜;世界遗产
人民剧院,34.2644621,108.9434375,TRUE,29,西安市,610102,新城区,[],体育休闲服务;影剧院;剧场
易俗大剧院,34.2630145,108.9447596,TRUE,29,西安市,610102,新城区,[],体育休闲服务;影剧院;剧场
城隍殿,34.2635082,108.9326793,TRUE,29,西安市,610104,莲湖区,北院门,风景名胜;风景名胜;寺庙道观
望仙台,34.29297402,108.9606493,TRUE,29,西安市,610102,新城区,[],科教文化服务;博物馆;博物馆|风景名胜;风景名胜相关;旅游景点
宣政殿,34.29212785,108.9594222,TRUE,29,西安市,610102,新城区,[],风景名胜;风景名胜;风景名胜
西安事变旧址,34.2683243,108.9484782,TRUE,29,西安市,610103,碑林区,[],风景名胜;风景名胜;纪念馆
文渊楼,34.15704177,108.8921466,TRUE,29,西安市,610116,长安区,[],科教文化服务;学校;学校
西安文理学院图书馆,34.21701249,108.8996769,TRUE,29,西安市,610113,雁塔区,西安高新技术产业开发区,科教文化服务;图书馆;图书馆
大唐西市博物馆,34.24914724,108.9033611,TRUE,29,西安市,610104,莲湖区,[],科教文化服务;博物馆;博物馆
忠烈祠,34.27340765,108.9543967,TRUE,,,,,,
广仁寺,34.27565685,108.9211279,TRUE,29,西安市,610104,莲湖区,[],风景名胜;风景名胜;寺庙道观
教育博物馆,34.15820846,108.8869315,TRUE,29,西安市,610115,临潼区,[],科教文化服务;博物馆;博物馆
至相寺,34.0205448,108.9157772,TRUE,29,西安市,610116,长安区,[],风景名胜;风景名胜;寺庙道观
清真古寺,34.26626318,108.9272907,TRUE,29,西安市,610104,莲湖区,北院门,风景名胜;风景名胜;回教寺
长生殿,34.36499057,109.2060671,TRUE,29,西安市,610115,临潼区,骊山,风景名胜;风景名胜;风景名胜
仙游寺博物馆,34.05834828,108.1959884,TRUE,29,西安市,610124,周至县,[],科教文化服务;博物馆;博物馆
群贤楼,34.05877742,108.6187336,TRUE,29,西安市,610104,莲湖区,[],地名地址信息;交通地名;道路名
西安城墙,34.26500121,108.9426258,TRUE,29,西安市,610102,新城区,[],风景名胜;风景名胜;国家级景点
西仓清真寺,34.267585,108.9320227,TRUE,29,西安市,610104,莲湖区,北院门,风景名胜;风景名胜;回教寺
陕西省文化和旅游厅,34.23438463,108.9427582,TRUE,29,西安市,610103,碑林区,文艺路,政府机构及社会团体;政府机关;省直辖市级政府及事业单位
明秦王府城墙,34.26484447,108.9486627,TRUE,29,西安市,610102,新城区,[],风景名胜;风景名胜;省级景点
西安交通大学仲英书院,34.24930868,108.9753297,TRUE,29,西安市,610103,碑林区,[],科教文化服务;学校;高等院校
紫宸殿,34.29373465,108.9594104,TRUE,29,西安市,610102,新城区,[],风景名胜;风景名胜相关;旅游景点
沣西车马坑,34.20494035,108.7136,TRUE,29,西安市,610116,长安区,西咸新区,交通设施服务;地铁站;地铁站
